245$a|245$b|245$c|100$a|490$v|260$c|856$u
"Modulation of adipocyte genes by signal transducers and activators of transcription"||"by Jessica C. Hogan."|"Hogan, Jessica C."|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-01092005-181433/"
"The intention/foresight distinction in the Doctrine of Double Effect"|"from theoretical impasses and double-think to practical applications in bioethics /"|"by Mitchell R. Thomas, III."|"Thomas, Mitchell R.,"|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-01232005-164221/"
"The role of perturbation on biochemical systems"|"salt, pH, and microgravity effects on protein-ligand and small molecule interactions /"|"by Gregory S. Thompson."|"Thompson, Gregory S.,"|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04072005-110000/"
"Conspiracy culture in America after World War II"||"by Valerie Rose Holliday."|"Holliday, Valerie Rose,"|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-04072005-104024/"
"Nitrate reduction and methane formation as influenced by iron-centered intermediate redox processes in rice soils"||"by Bin Huang."|"Huang, Bin,"|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-03292005-135153/"
"Greenwashing"|"visual communication and political influence in environmental policy /"|"by Eric Jenner."|"Jenner, Eric."|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-04142005-172650/"
"Macroinvertebrate community of ecology of lowland, subtropical streams in Louisiana"||"by Michael Douglas Kaller."|"Kaller, Michael Douglas,"|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-03302005-151536/"
"DNA supercoiling with a twist"||"by Edwin Kamau."|"Kamau, Edwin."|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-04072005-181452/"
"Cultural performance of roadside shrines"|"a poststructural postmodern ethnography /"|"by Rebecca Marie Kennerly."|"Kennerly, Rebecca Marie."|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-04142005-211331/"
"The hobbledehoy's choice"|"Anthony Trollope's awkward young men and their road to gentlemanliness /"|"by Mark King."|"King, Mark."|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-04132005-192550/"
"Effect of plant residue and water management practices on soil redox chemistry, methane emission, and rice productivity"||"by Manoch Kongchum."|"Kongchum, Manoch,"|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-04132005-102650/"
"A proteomic approach to indentifying defense related proteins in rice challenged with the fungal pathogen Rhizoctonia solani"||"by Joohyun Lee."|"Lee, Joohyun,"|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-04132005-091358/"
"Red rice competition and control in cultivated rice"||"by Christopher Todd Leon."|"Leon, Christopher Todd,"|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-03072005-071555/"
"Glucose transporter 2 is likely to play a role in the brain glucose sensing"||"by Bing Li."|"Li, Bing,"|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-01062005-142505/"
"Public relations ethics"|"a cross-cultural analysis /"|"by Paul Stuart Lieber."|"Lieber, Paul Stuart."|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-12092004-163021/"
"The operational aesthetic in the performance of professional wrestling"||"by William P. Lipscomb, III."|"Lipscomb, William P.,"|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-01252005-152153/"
"Associating molecular markers with phenotypes in sweetpotatoes and liriopogons using multivariate statistical modeling"||"by Thomas Mwamburi Mcharo."|"Mcharo, Thomas Mwamburi,"|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-03142005-155707/"
"Semantic classification of rural and urban images using learning vector quantization"||"by Prakash Thulasiraman."|"Thulasiraman, Prakash."|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-01242005-113710/"
"Secular change in the skull between American blacks and whites"||"by Nicole Danielle Truesdell."|"Truesdell, Nicole Danielle."|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04062005-121828/"
"An exploration of the roles of Pleribo, Adraste, and Prince Florilame in Tony Kushner's adaptation of The Illusion"|"a production thesis in acting /"|"by Chaney K. Tullos."|"Tullos, Chaney K.,"|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04112005-132451/"
"Regulation of the expression of photorespiratory genes of Chlamydomonas reinhardtii"||"by Baran Tural."|"Tural, Baran,"|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04082005-141028/"
"Development of an alternative approach to estimate vehicle miles traveled using a classification procedure"||"by Srividya Vadlamani."|"Vadlamani, Srividya."|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04142005-115901/"
"East African hydroclimatic variability"|"1950-1999 /"|"by Varada V. Vaidya."|"Vaidya, Varada V."|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04132005-234758/"
"Effects of gender role on the judgment of masculine signs"||"by Joseph C. Mitchell."|"Mitchell, Joseph C."|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-04142005-160028/"
"The King George Island Mounds site (16LV22)"|"a late archaic mound complex along the lower Amite River /"|"by"|"Vasbinder, Fiona Helena,"|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04112005-150711/"
"Detailed geochronology of the Mississippi Sound during the late Holocene"||"by Brian Velardo."|"Velardo, Brian,"|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04072005-210612/"
"An investigation of selected academic and nonacademic predictor variables of academic performance of student-athletes at Louisiana State University"||"by Derek Morgan."|"Morgan, Derek,"|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-01172005-201729/"
"Hydroclimatic and circulation anomalies associated with the Gulf of Mexico Hypoxic Zone"||"by Natalie A. Vines."|"Vines, Natalie A.,"|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04152005-083208/"
"Enhanced gas recovery using pressure and displacement management"||"by Thomas Walker."|"Walker, Thomas,"|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04152005-110009/"
"Learning discrete Hidden Markov Models from state distribution vectors"||"by Luis G. Moscovich."|"Moscovich, Luis G.,"|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-12212004-191037/"
"Reproductive characteristics of high body condition mares with high versus low leptin concentrations"||"by Cara Alexander Waller."|"Waller, Cara Alexander,"|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04142005-131028/"
"An examination of U.S. rice export promotion programs"||"by Yiqian Wang."|"Wang, Yiqian,"|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-12022004-010717/"
"The influence of transdermally administered fentanyl on isoflurane requirements in normothermic and hypothermic dogs"||"by Diane Wilson."|"Wilson, Diane,"|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04112005-150748/"
"Synthesis, characterization and application of polymeric surfactants in micellar electrokinetic chromatography"|"use of ionic liquids as modifiers /"|"by Simon M. Mwongela."|"Mwongela, Simon M.,"|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-12022004-133039/"
"Seasonal space use, habitat preference and survival of female wild turkeys in a Louisiana bottomland hardwood forest"||"by Walker Blake Wilson."|"Wilson, Walker Blake,"|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04142005-103606/"
"Feminist hard-boiled detective fiction as political protest in the tradition of women proletarian writers of the 1930s"||"by Laura Ellen Ng."|"Ng, Laura Ellen,"|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-04112005-105420/"
"Long-term changes and variability in northern hemisphere circumpolar vortex"||"by Kalyn M. Wrona."|"Wrona, Kalyn M.,"|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04152005-080526/"
"Testing democracy"|"the case of the 17th amendment and constituency representation /"|"by Rhonda Wrzenski."|"Wrzenski, Rhonda."|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04142005-104058/"
"Experimental investigation of dynamic interfacial interactions at reservoir conditions"||"by Wei Xu."|"Xu, Wei,"|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04112005-141253/"
"The efficacy of noncontingent escape for decreasing disruptive behavior during dental treatment"||"by Patrick M. O'Callaghan."|"O'Callaghan, Patrick M.,"|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-04052005-222449/"
"Contact effects in thermally evaporated pentacene thin films and aspects of microsystem hybrid integration"||"by Jagadish Yernagula."|"Yernagula, Jagadish,"|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04152005-092745/"
"The genetics of speciation by reinforcement"||"by Daniel Ortiz-Barrientos."|"Ortiz-Barrientos, Daniel."|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-04062005-121156/"
"Komatiites of the Weltevreden Formation, Barberton Greenstone Belt, South Africa"|"implications for the chemistry and temperature of the Archean mantle /"|"by Keena Kareem."|"Kareem, Keena,"|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-04152005-111817/"
"Constructing resilent marital relationships"|"a panel study of marriages under pressure /"|"by Amy Manning."|"Manning, Amy."|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-01242005-160814/"
"Evaluation of the central narthex portal at Sainte-Madeleine de Vèzelay"||"by Christine Ann Zeringue."|"Zeringue, Christine Ann."|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04032005-182442/"
"Comparative study of the physical and mechanistic properties of HMA mixture"|"field vs laboratory /"|"by Chenggang Zhang."|"Zhang, Chenggang,"|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04132005-144806/"
"Cholesterol oxidation in roasted salmon fish with different cooking oils"||"by Ting Zhang."|"Zhang, Ting,"|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-01212005-144136/"
"A comprehensive analysis of human Pre-Ta LINE-1 and Ya-lineage Alu mobile elements"||"by Anthony Canaan Otieno."|"Otieno, Anthony Canaan,"|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-03182005-105307/"
"Dynamical systems with time delay"||"by Norma Ortiz."|"Ortiz, Norma,"|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-02082005-130556/"
"The relationship between participation in community service-learning projects and personal and leadership life skills development in Louisiana high school 4-H leadership activities"||"by Connie S. Phelps."|"Phelps, Connie S.,"|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-01252005-122322/"
"Using the BioDatamation strategy to learn introductory college biology"|"value-added effects on selected students' conceptual understanding and conceptual integration of the processes of photosynthesis and celluar respiration /"|"by Jewel Jurovich Reuter."|"Reuter, Jewel Jurovich."|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-04012005-150732/"
"Dissipative Lipschitz dynamics"||"by Vinicio Rafael Ríos."|"Ríos, Vinicio Rafael,"|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-04112005-120514/"
"A corpus-based approach to infinitival complements in early Latin"||"by Sarah H. Ross."|"Ross, Sarah H."|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-04212005-133917/"
"The role of teachers' self-efficacy in increasing children's physical activity"||"by James F. Roth."|"Roth, James F."|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-03312005-151954/"
"Alice's shadow"|"childhood and agency in Lewis Carroll's photography, illustrations, and Alice texts /"|"by R. Nichole Rougeau."|"Rougeau, R. Nichole,"|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-04042005-092947/"
"Conceptualizing describing and contrasting school cultures"|"a comparative case study of school improvement processes /"|"by La Tefy Schoen."|"Schoen, La Tefy,"|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-01262005-072743/"
"Temporal and spatial harvest patterns of river otter in Louisiana and its potential use as a bioindicator species of water quality"||"by Daniel Gustavo Scognamillo."|"Scognamillo, Daniel Gustavo."|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-04122005-145005/"
"Illinois legislators revisited"|"a comparison of legislators' perceptions and attitudes toward constituent e-mail /"|"by Mary Louise Sheffer."|"Sheffer, Mary Louise."|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-03312005-144110/"
"Public sexuality"|"a contemporary history of gay images and identity /"|"by Shaun Sewell."|"Sewell, Shaun."|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-01212005-212501/"
"The stereoselective synthesis of the butyrolactone-bridged [8-5-5] tricyclic ring systems of (+/-)-asteriscanolide via the titanium-mediated Hetero-Pauson-Khand reaction"||"by Mohamed G. Sherriff."|"Sherriff, Mohamed G."|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-03112005-165301/"
"Food safety and sanitation issues in day care centers"||"by Elizabeth Katherine Smith."|"Smith, Elizabeth Katherine,"||"2005]"|"http://etd.lsu.edu/docs/available/etd-04112005-142641/"
"""To the latest generation"""|"Cold War and Post Cold War U.S. Civil War novels in their social contexts /"|"by Jeffrey Neal Smithpeters."|"Smithpeters, Jeffrey Neal,"|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-04142005-121818/"
"Laterally Movable Gate Field Effect Transistor (LMGFET) for microsensor and microactuator applications"||"by In-hyouk Song."|"Song, In-hyouk,"|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-04152005-002604/"
"A comparison of life histories and ecological aspects among snappers (Pisces: Lutjanidae)"||"by Fernando Martinez-Andrade."|"Martinez-Andrade, Fernando,"|"2003]"|"2003]"|"http://etd.lsu.edu/docs/available/etd-1113103-230518/"
"Automatic segmentation of magnetic resonance images of the brain"||"by Kirk Vincent Norton Spence."|"Spence, Kirk Vincent Norton."|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-04152005-114301/"
"The establishment, expansion and ecosystem effects of Phragmites australis, an invasive species in coastal Louisiana"||"by Lee Ellis Stanton."|"Stanton, Lee Ellis,"|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-01242005-174454/"
"Associations among mothers' reports of family daily hassles and family resources and children's cognitive ability"|"an exploratory study /"|"by Troy D. Stuart."|"Stuart, Troy D.,"|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-04042005-154619/"
"Risk properties of a Stein-like estimator for multinomial choice models"||"by Vera Alexandrova Tabakova."|"Tabakova, Vera Alexandrova."|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-01052005-021803/"
"Phylogenetic revision of the genus Mesynodites Reichardt (Coleptera: Histeridae: Hetaeriinae)"||"by Alexey K. Tishechkin."|"Tishechkin, Alexey K."|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-02232005-134727/"
"Denitrification and greenhouse gas emissions from cultivated and wetland alluvial soils"||"by Sami Ullah."|"Ullah, Sami,"|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-01142005-095834/"
"Serotonin and stress responding in animals"|"role of 5-HT.2A/C receptors in the central and peripheral nervous systems /"|"by Sarah Mathews Uzelac."|"Uzelac, Sarah Mathews,"|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-04122005-204341/"
"Long term pressure behavior in turbidite reservoirs"||"by Feng Wang."|"Wang, Feng,"|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-04132005-165719/"
"Chemical vapor deposition of thin films for ULSI interconnect metallization"||"by Lidong Wang."|"Wang, Lidong."|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-04042005-171306/"
"The stable isotope stratigraphy and paleosols of North America's most southern exposure of late Paleocene/Early Eocene fossiliferous continental deposits"|"documenting the initial Eocene thermal maximum in Big Bend National Park, Texas /"|"by Paul D. White."|"White, Paul D.,"|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-03142005-161647/"
"Uric acid-mediated modulation of the transcriptional regulator HucR from Deinococcus radiodurans"||"by Steven P. Wilkinson."|"Wilkinson, Steven P."|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-04062005-152112/"
"Marching masters"|"slavery, race, and the Confederate Army, 1861-1865 /"|"by Colin Edward Woodward.."|"Woodward, Colin Edward."|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-04122005-162104/"
